OBJECTID,CSA2010,viol10,viol11,viol12,viol13,viol14,viol15,viol16,viol17,viol18,SHAPE_Length,SHAPE_Area
29,Howard Park/West Arlington,11.4043962107974,12.875931205739,9.65694840430424,11.5883380851651,7.81753,10.9445415248781,9.65694840430423,11.3124252736135,10.8525705876943,36034.4984469622,63262430.0731008
30,Inner Harbor/Federal Hill,18.6503067484663,10.7351225204201,13.1466355503695,11.5908206923376,10.424,11.0462854920264,14.4690781796966,16.491637495138,14.0801244651886,43415.0595477941,24995836.2620936
31,Lauraville,6.273934653304,8.63684510714577,7.00725169070317,7.57760938645808,5.86654,8.06648741139085,7.6590890572802,8.71832477796789,7.49612971563595,34419.6765281197,49665744.2382935
32,Loch Raven,8.42531513291098,8.03344001045,8.68656521455163,11.1031284697276,8.36,8.88250277578211,8.5559401737313,10.3193782248056,8.81719025537195,29314.3346718106,44147812.3259686
33,Madison/East End,25.0610461380285,20.9484642076854,26.9888189178769,25.8321552499679,24.1614,26.4747461765839,27.6314098444929,28.6595553270787,28.2740007711091,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,7.13135495744191,8.91419369680239,7.53393144697493,9.20174833218311,9.08673,10.6970324361628,8.85668276972624,10.8695652173913,10.6395215090867,43152.6256992199,62441489.2397897
35,Midtown,15.1797603195739,13.9147802929427,14.3808255659121,16.3781624500666,12.3169,19.6404793608521,21.3049267643142,20.8388814913448,19.1078561917443,25020.0969697781,23823949.929494
36,Midway/Coldstream,22.0282626766417,22.6517040731505,20.2618453865337,20.9891936824605,19.5345,23.4829592684954,23.0673316708229,26.0806317539484,24.9376558603491,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,6.58188308790718,11.2672913877733,8.92458723784025,11.3788487282463,11.7135,14.0562248995983,14.1677822400713,20.8612226684515,20.7496653279786,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,2.32198142414861,2.32198142414861,1.93498452012384,2.32198142414861,3.09598,4.64396284829721,8.90092879256965,10.2554179566563,5.22445820433436,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,3.14933577645442,3.43563902885937,3.43563902885937,3.43563902885937,3.37838,4.46633073751717,6.01236830050389,5.66880439761795,4.46633073751718,42904.2221443837,74923987.6939622
40,Northwood,9.55356606381061,10.9956137715556,8.29177431953374,9.13296881571832,6.84973,10.5149312023072,8.77245688878207,11.3561256984918,10.7552724869314,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,27.8032036613272,23.2511725376709,26.4444666200978,33.1304261051791,26.644,29.9371320227522,34.2281209460133,38.0201576688953,37.3216245883644,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,20.3701675610557,16.0990033950279,18.7274121125835,20.6987186507502,18.9464,29.0220129230095,24.8603657868798,39.0975796736392,32.9646259993429,47825.8629265765,89894372.2114828
43,Patterson Park North & East,17.4582445528902,21.4447728366211,18.2143102618737,19.245308955942,22.407,18.7641762320434,25.9811670905216,27.3558320159461,27.1496322771324,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,18.8249896565991,18.2043856019859,20.6868018204386,15.6185353744311,17.2735,15.8254033926354,15.3082333471245,17.170045510964,20.2730657840298,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,23.4427894380501,16.6723087339201,18.7034529451591,14.1333784698714,17.434,20.9038591740013,24.2044685172647,24.1198375084631,19.4651320243737,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,26.5434526150216,30.0825796303578,22.8077074321667,25.5603617774282,22.2179,27.526543452615,34.8014156508061,30.4758159653952,28.7062524577271,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,27.0542427497315,21.5494092373792,22.9591836734694,22.422126745435,20.4753,26.1143931256713,25.1074113856068,27.9940923737916,25.3759398496241,20987.1433066415,23672092.8680536
48,South Baltimore,2.970029700297,5.77583515454262,3.43428036216047,2.80986575085857,2.34155,3.27817670933499,4.21479862628785,6.08804246019356,4.99531689041524,68440.0258267645,46353935.42529
49,Southeastern,10.702875399361,14.5367412140575,13.5782747603834,12.6198083067093,12.4601,19.0095846645367,19.9680511182108,21.405750798722,16.7731629392971,102291.480547452,111251478.472831
50,Southern Park Heights,18.7443541102078,18.06684733514,18.8196326407709,16.9376693766938,17.1635,17.5398976211984,17.9162902740138,19.4218608852755,16.4859981933153,24052.2213722085,27876227.5906738
51,Southwest Baltimore,28.7950796757059,24.937098126922,24.8252725747833,23.762929829466,23.8748,27.5649986021805,30.5283757338551,33.9390550740844,29.8574224210232,28355.5635813649,37766068.8367913
52,The Waverlies,18.4444731071843,18.5734554366052,20.6371727073391,18.5734554366052,17.9285,20.637172707339,19.9922610602347,21.1531020250225,23.8617309428608,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,27.2940388479571,26.7839876232837,28.7178495455424,21.8526397215239,20.789,30.2649390833494,34.035969831754,30.94179075614,27.847611680526,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,25.4406687261494,26.3492640377976,23.0783209158641,21.9880065418862,25.0772,29.8019262220606,40.15991277485,37.7975649645647,39.7964746501908,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,19.5252142154797,18.2609917123191,17.6991150442478,20.6489675516224,16.0135,22.75600505689,24.8630425621576,31.6055625790139,33.0102542491923,42573.1244161893,45494092.9497963
