OBJECTID,CSA2010,racdiv10,racdiv15,racdiv16,racdiv17,racdiv18,racdiv19,Shape__Area,Shape__Length
37,Morrell Park/Violetville,46.3850445998635,48.8095183712554,56.3272554349601,60.84742885,60.1348960883924,60.34548434,67470845.9901123,44412.745130342
38,Mount Washington/Coldspring,49.2103106214434,53.1506976858932,51.5129941246224,52.33457998,52.5294613278988,52.27843636,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,42.3001299414892,51.3276920350079,53.8713318411075,55.77806455,54.1414572686583,54.87685982,74923987.6937256,42904.2221443544
40,Northwood,22.4775091415869,28.3942604161178,30.7730260762258,31.42822193,34.3287810928908,36.83715641,52743271.7706299,38889.8945908862
41,Oldtown/Middle East,20.8307078832716,22.981281169973,24.4685556361059,25.28485775,28.272363263901,27.88182543,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,77.7659581604049,75.5647088951146,78.3388663067909,80.1951624,81.2196074950904,80.05332128,89894372.2113037,47825.8629266244
43,Patterson Park North & East,76.9795107817558,67.8682864576828,68.0619570194184,66.08471175,68.8438857645296,68.59490795,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,19.268909695728,29.1703693556245,30.6310903827208,31.63120015,29.092667070792,29.13472943,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,12.0378324202924,8.82797391336189,10.4337324018987,10.30026532,11.410512590102,13.13491013,30400962.0054932,24725.9340693612
46,Poppleton/The Terraces/Hollins Market,30.8966509160249,36.3558375737129,34.4903255225603,32.51316732,35.1314449770461,38.3430894,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,7.32686221222355,7.18959568030168,7.73680337099869,7.93083113,7.6707081180437,10.39415686,23672092.8682861,20987.1433066354
48,South Baltimore,19.3997376418742,27.0252037941371,23.535544157854,21.11191328,20.0907426217249,23.55626557,46353935.4255981,68440.0258266401
49,Southeastern,73.3780686628501,74.8594375036663,76.3631229269413,79.17001713,77.6584576342069,77.08096027,111251478.472229,102291.480547698
50,Southern Park Heights,9.28242636111366,15.2442220233299,15.9920570602905,15.32948873,17.8524678066128,22.37512376,27876227.5908203,24052.221372193
51,Southwest Baltimore,43.122735684612,48.4187509048363,47.1161630750151,49.75139877,49.8158501804567,45.75830883,37766068.8365479,28355.563581391
52,The Waverlies,37.469928227239,40.3649947353663,41.6867971936089,47.28260039,45.3116153466888,49.73921667,20383750.5437012,18733.826879757
53,Upton/Druid Heights,15.4065603647722,13.6921512053331,15.7161026953874,16.46288418,18.5469806167121,16.95815755,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,61.2431052769851,56.970142606027,54.6364132657233,55.95211275,62.1066624141214,62.62694128,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,62.0116173157464,48.5632397255528,50.0290759396526,55.57171633,56.9131361352857,66.70902176,45494092.9501953,42573.1244161851
