OBJECTID,CSA2010,ppac10,ppac15,ppac16,ppac17,ppac18,ppac19,Shape__Area,Shape__Length
26,Harbor East/Little Italy,0.573330867394119,0.159066808059385,0.423205783812379,0.404787047,0.656977901652399,0.8370895042,10215859.0836182,18552.4075815937
27,Harford/Echodale,0.421640239919235,0.432472507104905,0.247023055485179,0,0,0,65360039.1698608,40019.1854001996
28,Highlandtown,1.06206896551724,0.0957723354768094,0,0,0.563153660498793,0.5063965885,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,0.34948956129863,0.464322941343694,0.80585402000741,0.159080866,0.386100386100386,0.3699462697,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,0.404511863088293,0.18001800180018,0.724852071005917,1.000809478,2.3269870051375,2.226658477,24995836.2615967,43415.0595478862
31,Lauraville,0.562209728672696,1.37992977872132,2.89486632770215,2.226041411,2.70780339706244,2.319692886,49665744.2354736,34419.676527973
32,Loch Raven,0.228593821435569,0.00580686371290866,0.375256523013779,0.984413454,1.2751016385364,1.595335725,44147812.3265381,29314.3346718286
33,Madison/East End,0.55262819688986,1.38811771238201,0.643224699828473,1.365498407,1.2405024034734,1.864586088,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,0.483091787439614,0.308818483358115,0.270970782280867,0.312002936,0.0910746812386156,0.1157548434,62441489.2398071,43152.625699222
35,Midtown,0.545938748335553,0.322144191740223,0.652498135719612,0.683905426,0.622712974256917,1.000633312,23823949.9294434,25020.0969698082
36,Midway/Coldstream,0.3428927680798,0.309961522017956,0.482425913163336,0.295178747,0.397746105402717,0.346060676,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,0.769745649263722,0.14037774374681,0.169690640908498,0.548159749,0.425159434788045,1.374570447,67470845.9901123,44412.745130342
38,Mount Washington/Coldspring,0.464396284829721,0.37008180755746,0,0,0,0,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,0.343563902885937,0.603830007475991,0.58405135025733,0.726965342,0.756412443837797,0.4092304195,74923987.6937256,42904.2221443544
40,Northwood,0.36051192693625,0.289102601923417,0.33593976252534,0.541557405,0.855142332415059,0.9935842843,52743271.7706299,38889.8945908862
41,Oldtown/Middle East,0.299371320227522,0.172320947765213,0.31055900621118,0.189993667,0.159100551548578,0.09206219313,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,0.919943051144453,2.35408560311284,2.39403453689168,2.278433925,1.9633630812588,2.170923379,89894372.2113037,47825.8629266244
43,Patterson Park North & East,1.16846518661076,0.635446884928858,0.736346901206791,0.246896163,0.2108784176847,0.1735456123,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,0.455109640049648,0.784795763993949,0.674684658257554,0.662314315,0.803697006228651,0.5978148835,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,0.296208530805687,0,0.117999455387129,0.236540827,0.359852168838747,0.561680882,30400962.0054932,24725.9340693612
46,Poppleton/The Terraces/Hollins Market,0.432559968541093,0.081366965012205,0.098755678451511,0.103434009,0.15562472209871,0.1027960526,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,0.18796992481203,1.18571980925377,1.3457139012246,1.295062102,1.02202503565203,1.057350702,23672092.8682861,20987.1433066354
48,South Baltimore,0.312207305650952,0.112723686064534,0.0951474785918173,0.109980753,0.757883340100148,0.8860249698,46353935.4255981,68440.0258266401
49,Southeastern,1.51757188498403,1.5583019881784,0.505050505050505,0.546267174,0,0.7299270073,111251478.472229,102291.480547698
50,Southern Park Heights,0.421559771153267,0.0334873752595272,0.0426439232409382,0.0362529,0.0234082397003745,0.7326007326,27876227.5908203,24052.221372193
51,Southwest Baltimore,0.592675426334918,0.752757192040614,1.03133677112257,1.07463041,1.02969348659003,0.4909243589,37766068.8365479,28355.563581391
52,The Waverlies,0.451438152973043,3.15546434068753,2.99724103335842,2.937976061,0.111234705228031,0.1162340178,20383750.5437012,18733.826879757
53,Upton/Druid Heights,0.406111003674338,0.287955515837553,0.37065938353492,0.450538688,0.60063224446786,0.1825993555,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,0.690532436852626,0,0,0,0,0,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,0.435454417755303,0.0574217628481194,0.0731528895391368,0,0,0,45494092.9501953,42573.1244161851
